ID,Borough,Local_Authority,Area_sqm,Population_est
1,Westminster,"Westminster City Council",8.29,261317
2,"Kensington & Chelsea","Kensington & Chelsea Borough Council",4.68,156129
3,"Hammersmith & Fulham","Hammersmith & Fulham Borough Council",6.33,185143
9,Islington,"Islington Borough Council",5.74,242467
10,Camden,"Camden Borough Council",8.4,270029
