ID,Borough,Local_Authority,Area_sqm,Population_est
3,"Hammersmith & Fulham","Hammersmith & Fulham Borough Council",6.33,185143
11,Brent,"Brent Borough Council",16.7,329771
12,Ealing,"Ealing Borough Council",21.44,341806
12,Hounslow,"Hounslow Borough Council",21.61,271523
12,"Richmond upon Thames","Richmond upon Thames Borough Council",22.17,198019
31,Harrow,"Harrow  Borough Council",19.49,251160
32,Hillingdon,"Hillingdon  Borough Council",44.67,306870
