,BoroughName,1st_Dose_Uptake_%,2nd_Dose_Uptake_%
843,Tower Hamlets,64.2,58.6
844,Tower Hamlets,68.5,62.9
845,Tower Hamlets,58.8,51.6
846,Tower Hamlets,69.7,64.4
847,Tower Hamlets,68.2,62.7
848,Tower Hamlets,69.3,64.1
849,Tower Hamlets,70.9,65.6
850,Tower Hamlets,66.9,61.2
851,Tower Hamlets,64.3,55.6
852,Tower Hamlets,69.0,63.1
853,Tower Hamlets,71.3,66.0
854,Tower Hamlets,67.9,61.9
855,Tower Hamlets,68.6,63.0
856,Tower Hamlets,70.9,65.1
857,Tower Hamlets,75.0,71.2
858,Tower Hamlets,67.8,61.6
859,Tower Hamlets,67.6,63.4
860,Tower Hamlets,67.7,62.5
861,Waltham Forest,73.5,70.4
862,Waltham Forest,78.7,76.0
863,Waltham Forest,73.2,69.9
