regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000047,Burnt Oak & Watling Park,msoa,12/10/2022,62.7,58.7,39.7
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000048,Copthall & Downage,msoa,12/10/2022,76.3,72.9,57.2
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000049,Grahame Park,msoa,12/10/2022,66.2,61,38.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000050,Fallow Corner,msoa,12/10/2022,72.9,69.6,52.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000051,Finchley Central,msoa,12/10/2022,72.6,69.4,54.8
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000052,East Finchley,msoa,12/10/2022,75.6,72.7,56.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000053,Colindale,msoa,12/10/2022,63.9,58.5,39.2
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000054,North Hendon & Sunny Hill,msoa,12/10/2022,65.8,62.1,43.9
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000055,Hendon Central,msoa,12/10/2022,61,57,39.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000056,Hampstead Garden Suburb,msoa,12/10/2022,80.3,77.1,64
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000057,Hendon Park,msoa,12/10/2022,63.1,59.4,41.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000058,Temple Fortune,msoa,12/10/2022,71.8,68.3,53.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000059,West Hendon,msoa,12/10/2022,64.2,60.8,42.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000060,Golders Green North,msoa,12/10/2022,63.9,59.1,41
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000061,Golders Green South,msoa,12/10/2022,69.9,65.8,51.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000062,Brent Cross & Staples Corner,msoa,12/10/2022,62.5,57.5,37.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000063,North Cricklewood,msoa,12/10/2022,66.3,61.9,42.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000064,Childs Hill,msoa,12/10/2022,68.7,64.6,46.3
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000065,Crossway Park,msoa,12/10/2022,67.2,61.8,38.7
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000066,South Thamesmead,msoa,12/10/2022,67.9,62.8,41.9
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000067,Belvedere & Lessness Heath,msoa,12/10/2022,71.7,67,46.2
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000068,Erith East,msoa,12/10/2022,69.8,65.3,43.5
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000069,Erith West,msoa,12/10/2022,77.9,74,54
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000070,Lesnes Abbey,msoa,12/10/2022,82.3,79.3,63.5
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000071,Northumberland Heath,msoa,12/10/2022,80.9,77.1,58.6
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000072,Slade Green & Crayford Marshes,msoa,12/10/2022,71,65.4,42.7
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000073,Bostall,msoa,12/10/2022,85.8,83.1,65.8
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000074,Lesney Farm & Colyers East,msoa,12/10/2022,78.2,73.8,51.9
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000075,Bursted Wood,msoa,12/10/2022,87.1,84.7,69.9
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000077,St Michael's,msoa,12/10/2022,82.1,78.9,61.2
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000078,Barnehurst North,msoa,12/10/2022,86.2,83.2,67.1
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000079,Bexleyheath Broadway,msoa,12/10/2022,82.5,79.4,63.9
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000080,Welling,msoa,12/10/2022,80.5,77.3,59.5
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000081,Barnehurst South,msoa,12/10/2022,82.7,79.3,64
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000082,Falconwood,msoa,12/10/2022,83.2,80.2,62.7
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000083,Crayford,msoa,12/10/2022,78.3,74.6,55.5
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000084,Danson Park,msoa,12/10/2022,84.3,81.8,65.8
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000085,Blackfen,msoa,12/10/2022,82.4,79.8,61.8
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000086,Lamorbey,msoa,12/10/2022,86.3,84,68.4
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000087,Bexley Village,msoa,12/10/2022,86.9,84.7,71.1
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000088,Albany Park,msoa,12/10/2022,86.8,84.2,69.2
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000089,Longlands & Halfway,msoa,12/10/2022,87.5,85.2,70.1
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000090,Sidcup West,msoa,12/10/2022,86.1,83.3,68.6
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000091,Sidcup East,msoa,12/10/2022,86.7,84,69.5
E12000007,London,E09000004,Bexley,E09000004,Bexley,E02000092,Foots Cray Meadows,msoa,12/10/2022,77.7,73.9,56.2
