,1st_Dose_Uptake_%,2nd_Dose_Uptake_%,MSOA11CD,MSOA11NM,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,Region,Borough,Code,Unnamed: 10
Barking and Dagenham,,59.82727273,E02000021,Barking and Dagenham 020,0.424595142,0.280743927,0.038841093,0.031123482,East,Barking and Dagenham,E09000002,
Barking and Dagenham,,59.82727273,E02000022,Barking and Dagenham 021,0.61775094,0.358778626,0.092400592,0.035547454,East,Barking and Dagenham,E09000002,
Barking and Dagenham,,59.82727273,E02000023,Barking and Dagenham 022,0.548287566,0.360536871,0.074514039,0.019284172,East,Barking and Dagenham,E09000002,
Barking and Dagenham,,59.82727273,E02006799,Barking and Dagenham 023,0.378946289,0.147908979,0.087945879,0.051865519,East,Barking and Dagenham,E09000002,
Barnet,72.69756098,,E02000024,Barnet 001,0.16601024,0.023828279,0.009058685,0.03751477,North,Barnet,E09000003,
Barnet,72.69756098,,E02000025,Barnet 002,0.212669683,0.046505782,0.010935143,0.037833082,North,Barnet,E09000003,
Barnet,72.69756098,,E02000026,Barnet 003,0.214161255,0.037858387,0.009345794,0.047520988,North,Barnet,E09000003,
Barnet,72.69756098,,E02000027,Barnet 004,0.303292353,0.094394666,0.014482184,0.042196291,North,Barnet,E09000003,
Barnet,72.69756098,,E02000028,Barnet 005,0.251378527,0.048167369,0.015082712,0.061790464,North,Barnet,E09000003,
Barnet,72.69756098,,E02000029,Barnet 006,0.250205471,0.058706117,0.008688505,0.043325114,North,Barnet,E09000003,
Barnet,72.69756098,,E02000030,Barnet 007,0.249726177,0.039868565,0.015115005,0.059912377,North,Barnet,E09000003,
Barnet,72.69756098,,E02000031,Barnet 008,0.284206197,0.047573348,0.01220181,0.071291472,North,Barnet,E09000003,
Barnet,72.69756098,,E02000032,Barnet 009,0.32289678,0.035255186,0.025964108,0.093801705,North,Barnet,E09000003,
Barnet,72.69756098,,E02000033,Barnet 010,0.309827808,0.062902659,0.016750615,0.070282301,North,Barnet,E09000003,
Barnet,72.69756098,,E02000034,Barnet 011,0.292783263,0.055594734,0.01716032,0.072167372,North,Barnet,E09000003,
Barnet,72.69756098,,E02000035,Barnet 012,0.360703076,0.042686755,0.015442561,0.100564972,North,Barnet,E09000003,
Barnet,72.69756098,,E02000036,Barnet 013,0.42036675,0.123056874,0.025877315,0.103323094,North,Barnet,E09000003,
Barnet,72.69756098,,E02000037,Barnet 014,0.365054922,0.079149985,0.018273278,0.135099066,North,Barnet,E09000003,
Barnet,72.69756098,,E02000038,Barnet 015,0.345349058,0.078561917,0.017215142,0.09729884,North,Barnet,E09000003,
Barnet,72.69756098,,E02000039,Barnet 016,0.298576779,0.064868914,0.024868914,0.062022472,North,Barnet,E09000003,
Barnet,72.69756098,,E02000040,Barnet 017,0.376962623,0.097957482,0.024732527,0.058774489,North,Barnet,E09000003,
Barnet,72.69756098,,E02000041,Barnet 018,0.428101237,0.093632959,0.029962547,0.114175462,North,Barnet,E09000003,
Barnet,72.69756098,,E02000042,Barnet 019,0.420340258,0.052824514,0.027352195,0.145972366,North,Barnet,E09000003,
Barnet,72.69756098,,E02000043,Barnet 020,0.396049896,0.026117464,0.019230769,0.12720894,North,Barnet,E09000003,
Barnet,72.69756098,,E02000044,Barnet 021,0.438979061,0.150043365,0.025027878,0.067401809,North,Barnet,E09000003,
Barnet,72.69756098,,E02000045,Barnet 022,0.354596073,0.088600176,0.01465273,0.066230341,North,Barnet,E09000003,
Barnet,72.69756098,,E02000046,Barnet 023,0.372221436,0.039926377,0.018972108,0.111850488,North,Barnet,E09000003,
Barnet,72.69756098,,E02000047,Barnet 024,0.539435505,0.157126528,0.034643454,0.085993142,North,Barnet,E09000003,
Barnet,72.69756098,,E02000048,Barnet 025,0.361108282,0.062442701,0.023123154,0.075888764,North,Barnet,E09000003,
Barnet,72.69756098,,E02000049,Barnet 026,0.615429848,0.296248383,0.022933082,0.043866871,North,Barnet,E09000003,
Barnet,72.69756098,,E02000050,Barnet 027,0.376291733,0.09131558,0.020369634,0.112678855,North,Barnet,E09000003,
Barnet,72.69756098,,E02000051,Barnet 028,0.343009136,0.052503759,0.018503527,0.079102579,North,Barnet,E09000003,
Barnet,72.69756098,,E02000052,Barnet 029,0.265518664,0.061765312,0.01505465,0.049804083,North,Barnet,E09000003,
Barnet,72.69756098,,E02000053,Barnet 030,0.590318501,0.126250431,0.053006784,0.11406232,North,Barnet,E09000003,
Barnet,72.69756098,,E02000054,Barnet 031,0.459616986,0.091174022,0.028864835,0.097696364,North,Barnet,E09000003,
Barnet,72.69756098,,E02000055,Barnet 032,0.381221923,0.069631626,0.018508535,0.083018868,North,Barnet,E09000003,
Barnet,72.69756098,,E02000056,Barnet 033,0.2032132,0.021710812,0.011832393,0.036799826,North,Barnet,E09000003,
Barnet,72.69756098,,E02000057,Barnet 034,0.295831106,0.043693212,0.016034206,0.061865313,North,Barnet,E09000003,
Barnet,72.69756098,,E02000058,Barnet 035,0.232191781,0.033072407,0.014677104,0.03630137,North,Barnet,E09000003,
Barnet,72.69756098,,E02000059,Barnet 036,0.577971125,0.112056602,0.048474998,0.172674252,North,Barnet,E09000003,
Barnet,72.69756098,,E02000060,Barnet 037,0.273901099,0.034065934,0.013461538,0.056959707,North,Barnet,E09000003,
Barnet,72.69756098,,E02000061,Barnet 038,0.337077249,0.032322476,0.018844378,0.052539623,North,Barnet,E09000003,
Barnet,72.69756098,,E02000062,Barnet 039,0.506309148,0.153943218,0.035804416,0.082018927,North,Barnet,E09000003,
Barnet,72.69756098,,E02000063,Barnet 040,0.477262946,0.11146177,0.032563477,0.053794291,North,Barnet,E09000003,
Barnet,72.69756098,,E02000064,Barnet 041,0.391485275,0.104353393,0.025928297,0.031049936,North,Barnet,E09000003,
Barnet,,69.17317073,E02000024,Barnet 001,0.16601024,0.023828279,0.009058685,0.03751477,North,Barnet,E09000003,
Barnet,,69.17317073,E02000025,Barnet 002,0.212669683,0.046505782,0.010935143,0.037833082,North,Barnet,E09000003,
Barnet,,69.17317073,E02000026,Barnet 003,0.214161255,0.037858387,0.009345794,0.047520988,North,Barnet,E09000003,
Barnet,,69.17317073,E02000027,Barnet 004,0.303292353,0.094394666,0.014482184,0.042196291,North,Barnet,E09000003,
Barnet,,69.17317073,E02000028,Barnet 005,0.251378527,0.048167369,0.015082712,0.061790464,North,Barnet,E09000003,
Barnet,,69.17317073,E02000029,Barnet 006,0.250205471,0.058706117,0.008688505,0.043325114,North,Barnet,E09000003,
Barnet,,69.17317073,E02000030,Barnet 007,0.249726177,0.039868565,0.015115005,0.059912377,North,Barnet,E09000003,
Barnet,,69.17317073,E02000031,Barnet 008,0.284206197,0.047573348,0.01220181,0.071291472,North,Barnet,E09000003,
Barnet,,69.17317073,E02000032,Barnet 009,0.32289678,0.035255186,0.025964108,0.093801705,North,Barnet,E09000003,
Barnet,,69.17317073,E02000033,Barnet 010,0.309827808,0.062902659,0.016750615,0.070282301,North,Barnet,E09000003,
Barnet,,69.17317073,E02000034,Barnet 011,0.292783263,0.055594734,0.01716032,0.072167372,North,Barnet,E09000003,
Barnet,,69.17317073,E02000035,Barnet 012,0.360703076,0.042686755,0.015442561,0.100564972,North,Barnet,E09000003,
Barnet,,69.17317073,E02000036,Barnet 013,0.42036675,0.123056874,0.025877315,0.103323094,North,Barnet,E09000003,
Barnet,,69.17317073,E02000037,Barnet 014,0.365054922,0.079149985,0.018273278,0.135099066,North,Barnet,E09000003,
