MSOA11CD,LSOA11NM,LocalAuthority,imd_score,Region,Borough,Code
E01000936,"Camden 024A",Camden,21.5,Central,Camden,E09000007
E01000937,"Camden 025B",Camden,14.3,Central,Camden,E09000007
E01000938,"Camden 024B",Camden,33.7,Central,Camden,E09000007
E01000939,"Camden 024C",Camden,39.1,Central,Camden,E09000007
E01000940,"Camden 024D",Camden,19.7,Central,Camden,E09000007
E01000941,"Camden 025C",Camden,38,Central,Camden,E09000007
E01000942,"Camden 025D",Camden,15.3,Central,Camden,E09000007
E01000943,"Camden 025E",Camden,19.8,Central,Camden,E09000007
E01000944,"Camden 023A",Camden,22.7,Central,Camden,E09000007
E01000945,"Camden 023B",Camden,29.5,Central,Camden,E09000007
E01000946,"Camden 021B",Camden,14.8,Central,Camden,E09000007
E01000947,"Camden 021C",Camden,24.7,Central,Camden,E09000007
E01000948,"Camden 021D",Camden,28.9,Central,Camden,E09000007
E01000949,"Camden 023C",Camden,19.6,Central,Camden,E09000007
E01000950,"Camden 023D",Camden,39.7,Central,Camden,E09000007
E01000951,"Camden 023E",Camden,34.2,Central,Camden,E09000007
E01000952,"Camden 022A",Camden,33.4,Central,Camden,E09000007
E01000953,"Camden 022B",Camden,37.2,Central,Camden,E09000007
E01000954,"Camden 022C",Camden,34.9,Central,Camden,E09000007
E01000955,"Camden 022D",Camden,33.2,Central,Camden,E09000007
E01000956,"Camden 022E",Camden,33.6,Central,Camden,E09000007
E01000957,"Camden 019C",Camden,26.3,Central,Camden,E09000007
E01000958,"Camden 019D",Camden,24.5,Central,Camden,E09000007
E01000959,"Camden 019E",Camden,39,Central,Camden,E09000007
E01000960,"Camden 017A",Camden,16.5,Central,Camden,E09000007
E01000961,"Camden 017B",Camden,22.6,Central,Camden,E09000007
E01000962,"Camden 016A",Camden,6.1,Central,Camden,E09000007
E01000963,"Camden 017C",Camden,8.8,Central,Camden,E09000007
E01000964,"Camden 016B",Camden,17.9,Central,Camden,E09000007
E01000965,"Camden 016C",Camden,17.4,Central,Camden,E09000007
E01000966,"Camden 016D",Camden,7,Central,Camden,E09000007
E01000967,"Camden 017D",Camden,9.3,Central,Camden,E09000007
E01000968,"Camden 016E",Camden,14.3,Central,Camden,E09000007
E01000969,"Camden 010A",Camden,6.3,Central,Camden,E09000007
E01000970,"Camden 010B",Camden,10.3,Central,Camden,E09000007
E01000971,"Camden 010C",Camden,7.9,Central,Camden,E09000007
E01000972,"Camden 010D",Camden,27.1,Central,Camden,E09000007
E01000973,"Camden 010E",Camden,20.6,Central,Camden,E09000007
E01000974,"Camden 013E",Camden,25.1,Central,Camden,E09000007
E01000975,"Croydon 022A",Croydon,17.7,South,Croydon,E09000008
E01000976,"Croydon 022B",Croydon,25.8,South,Croydon,E09000008
E01000977,"Croydon 022C",Croydon,28.3,South,Croydon,E09000008
E01000978,"Croydon 022D",Croydon,20.6,South,Croydon,E09000008
E01000979,"Croydon 022E",Croydon,17.6,South,Croydon,E09000008
E01000980,"Croydon 017A",Croydon,26.5,South,Croydon,E09000008
E01000981,"Croydon 017B",Croydon,14,South,Croydon,E09000008
E01000982,"Croydon 017C",Croydon,18.6,South,Croydon,E09000008
E01000983,"Croydon 017D",Croydon,13.5,South,Croydon,E09000008
E01000984,"Croydon 022F",Croydon,30.6,South,Croydon,E09000008
E01000985,"Croydon 021A",Croydon,8.7,South,Croydon,E09000008
E01000986,"Croydon 021B",Croydon,13,South,Croydon,E09000008
E01000987,"Croydon 021C",Croydon,9.4,South,Croydon,E09000008
E01000989,"Croydon 018A",Croydon,12.4,South,Croydon,E09000008
E01000990,"Croydon 045A",Croydon,40.3,South,Croydon,E09000008
E01000991,"Croydon 018B",Croydon,8.8,South,Croydon,E09000008
E01000992,"Croydon 014A",Croydon,32.2,South,Croydon,E09000008
E01000993,"Croydon 021D",Croydon,12.2,South,Croydon,E09000008
E01000994,"Croydon 009A",Croydon,19.8,South,Croydon,E09000008
E01000995,"Croydon 009B",Croydon,20.6,South,Croydon,E09000008
E01000996,"Croydon 009C",Croydon,19.9,South,Croydon,E09000008
E01000997,"Croydon 009D",Croydon,22.3,South,Croydon,E09000008
E01000998,"Croydon 010A",Croydon,32.6,South,Croydon,E09000008
E01000999,"Croydon 009E",Croydon,22.8,South,Croydon,E09000008
E01001000,"Croydon 010B",Croydon,28.2,South,Croydon,E09000008
E01001001,"Croydon 013A",Croydon,37.5,South,Croydon,E09000008
E01001002,"Croydon 009F",Croydon,22.2,South,Croydon,E09000008
E01001003,"Croydon 010C",Croydon,25,South,Croydon,E09000008
E01001004,"Croydon 015A",Croydon,26.9,South,Croydon,E09000008
E01001005,"Croydon 019A",Croydon,23.2,South,Croydon,E09000008
E01001006,"Croydon 016A",Croydon,30.7,South,Croydon,E09000008
E01001007,"Croydon 016B",Croydon,18.9,South,Croydon,E09000008
E01001008,"Croydon 019B",Croydon,30.4,South,Croydon,E09000008
E01001009,"Croydon 019C",Croydon,23.7,South,Croydon,E09000008
E01001010,"Croydon 019D",Croydon,41.8,South,Croydon,E09000008
E01001011,"Croydon 019E",Croydon,30.9,South,Croydon,E09000008
E01001012,"Croydon 020A",Croydon,37.5,South,Croydon,E09000008
E01001013,"Croydon 020B",Croydon,46.1,South,Croydon,E09000008
E01001014,"Croydon 024A",Croydon,30.3,South,Croydon,E09000008
E01001015,"Croydon 041A",Croydon,24.3,South,Croydon,E09000008
E01001016,"Croydon 041B",Croydon,14.4,South,Croydon,E09000008
E01001017,"Croydon 043A",Croydon,8,South,Croydon,E09000008
E01001018,"Croydon 044A",Croydon,6.4,South,Croydon,E09000008
