MSOA11CD,MSOA11NM,LocalAuthority,total_registered_patients,Hypertension,"Obesity (18+)",Diabetes,Asthma,"Coronary heart disease",Region,Borough,Code
E02000054,"Barnet 031",Barnet,8758,9.69,4.67,4.22,3.37,1.91,North,Barnet,E09000003
E02000055,"Barnet 032",Barnet,14542,9.78,4.46,4.31,3.39,1.9,North,Barnet,E09000003
E02000056,"Barnet 033",Barnet,9544,9.49,3.89,3.5,3.5,2.42,North,Barnet,E09000003
E02000057,"Barnet 034",Barnet,9387,9.56,4.15,4.34,3.21,1.84,North,Barnet,E09000003
E02000058,"Barnet 035",Barnet,11928,9.27,3.34,3.46,3.16,2.42,North,Barnet,E09000003
E02000059,"Barnet 036",Barnet,13132,11.08,5.62,5.61,3.7,2.03,North,Barnet,E09000003
E02000060,"Barnet 037",Barnet,13908,9.29,3.35,3.9,2.95,2.09,North,Barnet,E09000003
E02000061,"Barnet 038",Barnet,9810,8.7,3.19,3.54,2.88,2.07,North,Barnet,E09000003
E02000062,"Barnet 039",Barnet,8052,8.81,4.74,4.26,3.15,1.64,North,Barnet,E09000003
E02000063,"Barnet 040",Barnet,9384,9.85,4.96,4.33,3.57,1.96,North,Barnet,E09000003
E02000064,"Barnet 041",Barnet,7344,9.48,4.9,3.92,3.46,1.84,North,Barnet,E09000003
E02000065,"Bexley 001",Bexley,8849,11.64,7.67,5.15,4.1,1.46,East,Bexley,E09000004
E02000066,"Bexley 002",Bexley,10441,11.05,8.09,5.1,4.23,1.46,East,Bexley,E09000004
E02000067,"Bexley 003",Bexley,10461,10.52,7.78,4.75,3.67,1.82,East,Bexley,E09000004
E02000068,"Bexley 004",Bexley,8307,12.12,9.76,5.71,4.15,2.13,East,Bexley,E09000004
E02000069,"Bexley 005",Bexley,6886,11.95,8.93,5.34,4.37,2.24,East,Bexley,E09000004
E02000070,"Bexley 006",Bexley,8365,11.03,7.1,4.67,3.98,1.97,East,Bexley,E09000004
E02000071,"Bexley 007",Bexley,8162,12.39,9.4,5.21,4.56,2.34,East,Bexley,E09000004
E02000072,"Bexley 008",Bexley,12796,10.5,10,4.88,4.04,1.65,East,Bexley,E09000004
E02000073,"Bexley 009",Bexley,11208,13.35,7.19,5.03,4.32,2.34,East,Bexley,E09000004
E02000074,"Bexley 010",Bexley,9116,11.79,10.03,5.12,4.62,2.11,East,Bexley,E09000004
E02000075,"Bexley 011",Bexley,8378,13.52,6.99,4.98,4.49,2.52,East,Bexley,E09000004
E02000077,"Bexley 013",Bexley,8611,13.36,8.84,5.11,3.86,2.19,East,Bexley,E09000004
E02000078,"Bexley 014",Bexley,8113,13.51,8.94,5.24,5.08,2.71,East,Bexley,E09000004
E02000079,"Bexley 015",Bexley,8780,12.78,5.52,4.65,4.32,2.61,East,Bexley,E09000004
E02000080,"Bexley 016",Bexley,10665,12.44,8.15,4.91,3.93,2.45,East,Bexley,E09000004
E02000081,"Bexley 017",Bexley,8462,13.25,6.89,4.88,4.9,2.79,East,Bexley,E09000004
E02000082,"Bexley 018",Bexley,9650,12.25,7.8,4.68,3.82,2.45,East,Bexley,E09000004
E02000083,"Bexley 019",Bexley,11385,11.07,6.52,4.5,4.53,2.04,East,Bexley,E09000004
E02000084,"Bexley 020",Bexley,11423,12.51,5.89,4.74,4.37,2.63,East,Bexley,E09000004
E02000085,"Bexley 021",Bexley,8240,11.43,6.32,4.75,3.86,2.55,East,Bexley,E09000004
E02000086,"Bexley 022",Bexley,7450,11.33,5.96,4.54,4.03,2.56,East,Bexley,E09000004
E02000087,"Bexley 023",Bexley,8345,11.6,5.38,4.46,4.54,2.88,East,Bexley,E09000004
E02000088,"Bexley 024",Bexley,8064,12.64,5.84,4.92,4.71,2.58,East,Bexley,E09000004
E02000089,"Bexley 025",Bexley,8169,12.49,6.63,4.96,4.54,2.8,East,Bexley,E09000004
E02000090,"Bexley 026",Bexley,9476,11.92,5.56,4.76,4.31,2.47,East,Bexley,E09000004
E02000091,"Bexley 027",Bexley,10012,12.38,5.48,4.82,4.3,2.61,East,Bexley,E09000004
E02000092,"Bexley 028",Bexley,6893,11.94,5.31,4.8,3.96,2.61,East,Bexley,E09000004
E02000093,"Brent 001",Brent,14105,13.26,6.49,7.92,4.08,2.4,West,Brent,E09000005
E02000094,"Brent 002",Brent,12045,12.29,5.31,6.41,4.43,2.01,West,Brent,E09000005
E02000095,"Brent 003",Brent,12708,12.16,5.64,7.78,4.2,2.36,West,Brent,E09000005
E02000096,"Brent 004",Brent,8785,10.95,6.25,6.47,3.88,2.33,West,Brent,E09000005
E02000097,"Brent 005",Brent,10884,10.77,5.73,6.87,4.41,1.81,West,Brent,E09000005
E02000098,"Brent 006",Brent,10259,11.39,6.74,6.81,3.92,2.36,West,Brent,E09000005
E02000099,"Brent 007",Brent,10306,11.05,6.38,6.84,3.92,2.33,West,Brent,E09000005
E02000100,"Brent 008",Brent,9301,10.65,4.74,6.46,3.38,2.2,West,Brent,E09000005
E02000101,"Brent 009",Brent,12365,10.33,8.84,5.95,4.5,1.94,West,Brent,E09000005
E02000102,"Brent 010",Brent,9395,11.79,8.63,6.33,3.86,1.86,West,Brent,E09000005
E02000103,"Brent 011",Brent,11278,11.59,6.48,5.65,4.56,1.94,West,Brent,E09000005
E02000104,"Brent 012",Brent,9027,10.16,8.13,6.29,3.97,1.96,West,Brent,E09000005
E02000105,"Brent 013",Brent,11807,10.32,5.15,6.67,3.04,1.91,West,Brent,E09000005
E02000106,"Brent 014",Brent,13092,11.5,8.65,6.45,3.94,1.8,West,Brent,E09000005
E02000107,"Brent 015",Brent,13560,8.88,4.69,4.63,3.3,1.47,West,Brent,E09000005
E02000108,"Brent 016",Brent,8206,11.17,5.13,7.01,3.31,2.21,West,Brent,E09000005
E02000109,"Brent 017",Brent,16764,10.04,7.46,6.01,3.84,1.74,West,Brent,E09000005
E02000110,"Brent 018",Brent,9768,9.38,4.8,4.69,3.33,1.46,West,Brent,E09000005
E02000111,"Brent 019",Brent,15041,9.41,5.01,6.62,2.89,1.64,West,Brent,E09000005
E02000112,"Brent 020",Brent,14516,10.07,6.3,6.88,3.49,1.65,West,Brent,E09000005
E02000113,"Brent 021",Brent,11641,11.76,5.32,7.13,4.24,1.67,West,Brent,E09000005
E02000114,"Brent 022",Brent,11238,10.17,4.81,4.87,3.57,1.51,West,Brent,E09000005
E02000115,"Brent 023",Brent,10367,8.58,4.36,3.76,3.5,1.34,West,Brent,E09000005
E02000116,"Brent 024",Brent,10661,11.12,5.26,5.62,3.82,1.59,West,Brent,E09000005
E02000117,"Brent 025",Brent,15351,11.56,6.33,6.68,4.13,1.61,West,Brent,E09000005
E02000118,"Brent 026",Brent,13419,10.75,4.39,7.35,3.39,1.94,West,Brent,E09000005
E02000119,"Brent 027",Brent,10821,11.63,5.98,7.05,3.95,1.64,West,Brent,E09000005
