MSOA11CD,MSOA11NM,LocalAuthority,total_registered_patients,Hypertension,"Obesity (18+)",Diabetes,Asthma,"Coronary heart disease",Region,Borough,Code
E02000263,"Ealing 026",Ealing,18600,13.94,8.11,10.58,5.2,3.12,West,Ealing,E09000009
E02000264,"Ealing 027",Ealing,10511,9.31,5.27,3.69,3.79,1.82,West,Ealing,E09000009
E02000265,"Ealing 028",Ealing,13084,11,5.66,4.84,4.47,2.16,West,Ealing,E09000009
E02000266,"Ealing 029",Ealing,14265,11.74,7.64,8.44,5.19,2.58,West,Ealing,E09000009
E02000267,"Ealing 030",Ealing,8949,11.23,5.3,4.76,5.14,2.06,West,Ealing,E09000009
E02000268,"Ealing 031",Ealing,10959,8.37,4.23,3.19,3.78,1.77,West,Ealing,E09000009
E02000269,"Ealing 032",Ealing,9452,9.87,4.3,3.68,4.03,2.05,West,Ealing,E09000009
E02000270,"Ealing 033",Ealing,10130,9.75,6.73,4.49,4.61,1.84,West,Ealing,E09000009
E02000271,"Ealing 034",Ealing,8298,9.12,5.27,3.39,3.88,1.74,West,Ealing,E09000009
E02000272,"Ealing 035",Ealing,7805,10.52,4.37,4.18,4.64,2.1,West,Ealing,E09000009
E02000274,"Ealing 037",Ealing,21528,12.48,7.95,9.65,4.79,2.48,West,Ealing,E09000009
E02000275,"Ealing 038",Ealing,10172,12.32,7.61,9.05,5.04,2.51,West,Ealing,E09000009
E02000276,"Ealing 039",Ealing,8037,8.83,3.99,3.36,4.21,1.82,West,Ealing,E09000009
E02000277,"Enfield 001",Enfield,8059,12.69,8.64,5.99,5.01,1.89,North,Enfield,E09000010
E02000278,"Enfield 002",Enfield,10522,11.98,8.34,5.76,4.6,1.81,North,Enfield,E09000010
E02000279,"Enfield 003",Enfield,12892,10.39,8.05,4.87,4.36,1.36,North,Enfield,E09000010
E02000280,"Enfield 004",Enfield,9025,12.51,6.58,4.88,4.93,2.66,North,Enfield,E09000010
E02000281,"Enfield 005",Enfield,9812,12.55,6.84,5.38,4.87,2.52,North,Enfield,E09000010
E02000282,"Enfield 006",Enfield,10572,12.41,9,6.29,4.55,2.04,North,Enfield,E09000010
E02000283,"Enfield 007",Enfield,9615,12.16,8.84,6.12,4.51,2,North,Enfield,E09000010
E02000284,"Enfield 008",Enfield,9022,12.79,7.68,4.8,4.99,2.64,North,Enfield,E09000010
E02000285,"Enfield 009",Enfield,7166,12.42,6.66,4.73,4.88,2.62,North,Enfield,E09000010
E02000286,"Enfield 010",Enfield,8489,12.29,7.26,4.76,4.68,2.4,North,Enfield,E09000010
E02000287,"Enfield 011",Enfield,7776,11.48,4.68,4.68,4.14,2.64,North,Enfield,E09000010
E02000288,"Enfield 012",Enfield,12397,12.83,8.7,6.62,4.9,2.14,North,Enfield,E09000010
E02000289,"Enfield 013",Enfield,7298,12.06,5.19,4.73,4.37,2.49,North,Enfield,E09000010
E02000290,"Enfield 014",Enfield,7277,11.72,8.74,6.06,4.88,1.86,North,Enfield,E09000010
E02000291,"Enfield 015",Enfield,10568,11.11,6.48,4.61,4.31,2.03,North,Enfield,E09000010
E02000292,"Enfield 016",Enfield,10587,11.31,6.63,5.21,4.24,1.92,North,Enfield,E09000010
E02000293,"Enfield 017",Enfield,6919,12.33,5.04,4.61,4.55,2.46,North,Enfield,E09000010
E02000294,"Enfield 018",Enfield,10737,12.71,8.45,6.66,4.6,1.95,North,Enfield,E09000010
E02000295,"Enfield 019",Enfield,9373,12.18,4.42,4.78,4.41,2.62,North,Enfield,E09000010
E02000296,"Enfield 020",Enfield,11160,11.53,5.25,4.88,3.94,2.51,North,Enfield,E09000010
E02000297,"Enfield 021",Enfield,10606,11.67,4.55,4.56,4.14,2.16,North,Enfield,E09000010
E02000298,"Enfield 022",Enfield,8922,12.23,4.02,4.54,4.43,2.33,North,Enfield,E09000010
E02000299,"Enfield 023",Enfield,11984,12.17,8.25,6.72,4.16,1.85,North,Enfield,E09000010
E02000300,"Enfield 024",Enfield,9801,12,8.6,6.4,4.05,1.86,North,Enfield,E09000010
E02000301,"Enfield 025",Enfield,12508,11.59,9.52,6.46,4.05,1.73,North,Enfield,E09000010
E02000302,"Enfield 026",Enfield,9577,12.47,5.34,5.42,4.25,2.45,North,Enfield,E09000010
E02000303,"Enfield 027",Enfield,9907,12.32,10.38,6.72,3.97,1.69,North,Enfield,E09000010
E02000304,"Enfield 028",Enfield,8525,11.3,4.69,4.89,4.12,2.36,North,Enfield,E09000010
E02000305,"Enfield 029",Enfield,10147,12.05,4.95,4.98,4.54,2.52,North,Enfield,E09000010
E02000306,"Enfield 030",Enfield,10732,11.05,10.69,6.3,3.83,1.61,North,Enfield,E09000010
E02000307,"Enfield 031",Enfield,11118,11.55,7.17,6.32,3.45,1.96,North,Enfield,E09000010
E02000308,"Enfield 032",Enfield,9638,9.06,5.35,4.4,3.84,1.78,North,Enfield,E09000010
E02000309,"Enfield 033",Enfield,13396,11.26,8.75,6.43,3.43,1.46,North,Enfield,E09000010
E02000311,"Enfield 035",Enfield,11319,11.46,6.22,5.94,3.8,2.15,North,Enfield,E09000010
E02000312,"Enfield 036",Enfield,12607,10.72,5.84,5.04,4.09,2.09,North,Enfield,E09000010
E02000313,"Greenwich 001",Greenwich,7204,11.35,7.16,4.96,3.89,1.43,East,Greenwich,E09000011
E02000314,"Greenwich 002",Greenwich,14497,9.54,6.36,3.9,3.26,0.99,East,Greenwich,E09000011
E02000315,"Greenwich 003",Greenwich,10939,12.62,9.64,5.84,4.28,1.97,East,Greenwich,E09000011
E02000316,"Greenwich 004",Greenwich,13927,9.42,7.25,4.19,3.92,1.26,East,Greenwich,E09000011
E02000317,"Greenwich 005",Greenwich,8831,10.02,7.18,4.68,3.97,1.47,East,Greenwich,E09000011
E02000318,"Greenwich 006",Greenwich,11873,14.13,9.48,6.57,4.49,2.09,East,Greenwich,E09000011
E02000319,"Greenwich 007",Greenwich,11580,13.27,8.96,6.16,4.46,1.91,East,Greenwich,E09000011
E02000320,"Greenwich 008",Greenwich,7390,11.19,9.03,5.22,4.19,1.81,East,Greenwich,E09000011
E02000321,"Greenwich 009",Greenwich,8325,12.52,9.35,6.04,4.48,1.83,East,Greenwich,E09000011
E02000323,"Greenwich 011",Greenwich,12806,11.35,8.74,5.47,4.6,1.63,East,Greenwich,E09000011
E02000324,"Greenwich 012",Greenwich,8502,10.19,5.35,4.09,4.61,1.85,East,Greenwich,E09000011
E02000326,"Greenwich 014",Greenwich,8566,10.34,5.11,3.89,4.23,1.75,East,Greenwich,E09000011
E02000327,"Greenwich 015",Greenwich,6735,11.05,7.8,5.15,4.38,1.56,East,Greenwich,E09000011
E02000328,"Greenwich 016",Greenwich,7337,9.66,3.99,3.38,3.82,1.53,East,Greenwich,E09000011
E02000329,"Greenwich 017",Greenwich,6467,14.8,9.68,6.48,5.1,2.4,East,Greenwich,E09000011
E02000331,"Greenwich 019",Greenwich,8725,11.14,5.96,4.36,4.68,1.73,East,Greenwich,E09000011
E02000332,"Greenwich 020",Greenwich,7683,11.58,8.07,5.09,4.53,1.74,East,Greenwich,E09000011
E02000333,"Greenwich 021",Greenwich,6825,11.9,4.56,3.71,4.92,2.04,East,Greenwich,E09000011
E02000334,"Greenwich 022",Greenwich,7268,11.02,5.2,4.03,4.47,1.82,East,Greenwich,E09000011
E02000335,"Greenwich 023",Greenwich,7025,13.79,6.76,4.47,4.63,2.52,East,Greenwich,E09000011
E02000337,"Greenwich 025",Greenwich,9259,12.26,6.36,4.73,4.47,2.16,East,Greenwich,E09000011
E02000339,"Greenwich 027",Greenwich,6585,14.09,7.12,4.83,4.66,2.57,East,Greenwich,E09000011
E02000340,"Greenwich 028",Greenwich,6914,12.54,7.03,4.51,4.06,2.37,East,Greenwich,E09000011
E02000341,"Greenwich 029",Greenwich,8685,12.18,6.67,4.63,4.16,2.18,East,Greenwich,E09000011
E02000342,"Greenwich 030",Greenwich,6514,12.88,7.98,5.2,4.7,2.69,East,Greenwich,E09000011
E02000343,"Greenwich 031",Greenwich,7231,12.36,8.17,4.54,4.85,2.38,East,Greenwich,E09000011
E02000344,"Greenwich 032",Greenwich,6805,11.43,7.24,4.29,4.32,2.31,East,Greenwich,E09000011
E02000345,"Hackney 001",Hackney,11239,6.63,5.86,3.45,2.61,1.1,East,Hackney,E09000012
E02000346,"Hackney 002",Hackney,9453,8.05,7.45,4.07,4.61,1.33,East,Hackney,E09000012
E02000347,"Hackney 003",Hackney,10032,6.31,5.96,3.25,2.68,1.14,East,Hackney,E09000012
E02000348,"Hackney 004",Hackney,11050,6.91,6.05,3.66,2.9,1.12,East,Hackney,E09000012
E02000350,"Hackney 006",Hackney,11613,8.58,7.06,4.59,3.93,1.39,East,Hackney,E09000012
E02000351,"Hackney 007",Hackney,10229,7.53,6.69,3.86,4.5,1.3,East,Hackney,E09000012
E02000352,"Hackney 008",Hackney,7857,7.97,5.74,3.86,4.23,1.44,East,Hackney,E09000012
E02000353,"Hackney 009",Hackney,9580,8.5,6.13,4.23,4.39,1.47,East,Hackney,E09000012
E02000354,"Hackney 010",Hackney,11757,8.81,8.02,4.8,4.8,1.46,East,Hackney,E09000012
E02000355,"Hackney 011",Hackney,10493,9.59,8.05,5.17,4.71,1.58,East,Hackney,E09000012
E02000356,"Hackney 012",Hackney,8620,7.4,4.42,3.54,4.4,1.47,East,Hackney,E09000012
E02000357,"Hackney 013",Hackney,8252,12.28,9.8,6.36,4.88,1.75,East,Hackney,E09000012
E02000358,"Hackney 014",Hackney,13896,8.52,6.85,4.25,4.17,1.39,East,Hackney,E09000012
E02000359,"Hackney 015",Hackney,7756,10.1,8.17,5.49,4.72,1.5,East,Hackney,E09000012
E02000360,"Hackney 016",Hackney,13811,9.56,7.94,5.14,4.14,1.55,East,Hackney,E09000012
E02000361,"Hackney 017",Hackney,9389,9.42,7.53,5,4.31,1.65,East,Hackney,E09000012
E02000362,"Hackney 018",Hackney,8147,8.26,7.34,4.28,3.94,1.15,East,Hackney,E09000012
E02000363,"Hackney 019",Hackney,14433,9.35,7.84,4.95,4.35,1.53,East,Hackney,E09000012
E02000364,"Hackney 020",Hackney,10967,7.99,6.47,4.3,4.13,1.3,East,Hackney,E09000012
E02000365,"Hackney 021",Hackney,16940,7.44,6.17,3.88,3.99,1.22,East,Hackney,E09000012
E02000366,"Hackney 022",Hackney,10171,8.88,7.6,4.54,4.4,1.43,East,Hackney,E09000012
E02000367,"Hackney 023",Hackney,13315,8.47,6.96,4.31,4.48,1.36,East,Hackney,E09000012
E02000368,"Hackney 024",Hackney,11714,8.13,6.32,4.41,4.34,1.41,East,Hackney,E09000012
E02000369,"Hackney 025",Hackney,16023,7.43,6.37,3.85,3.8,1.29,East,Hackney,E09000012
E02000370,"Hackney 026",Hackney,10415,7.25,5.97,3.51,3.63,1.2,East,Hackney,E09000012
E02000371,"Hackney 027",Hackney,16881,6.89,5.55,3.61,3.42,1.17,East,Hackney,E09000012
E02000372,"Hammersmith and Fulham 001","Hammersmith and Fulham",12148,7.39,4.4,3.84,3.43,1.33,West,"Hammersmith and Fulham",E09000013
E02000373,"Hammersmith and Fulham 002","Hammersmith and Fulham",9232,9.09,5.2,5.04,3.93,1.54,West,"Hammersmith and Fulham",E09000013
E02000374,"Hammersmith and Fulham 003","Hammersmith and Fulham",8757,8.52,5.2,4.39,3.76,1.48,West,"Hammersmith and Fulham",E09000013
E02000375,"Hammersmith and Fulham 004","Hammersmith and Fulham",9311,8.72,5.04,4.21,3.68,1.46,West,"Hammersmith and Fulham",E09000013
E02000376,"Hammersmith and Fulham 005","Hammersmith and Fulham",9071,9.01,5.2,4.1,3.86,1.51,West,"Hammersmith and Fulham",E09000013
E02000377,"Hammersmith and Fulham 006","Hammersmith and Fulham",10060,8.69,4.66,3.91,3.78,1.49,West,"Hammersmith and Fulham",E09000013
E02000378,"Hammersmith and Fulham 007","Hammersmith and Fulham",8731,8.1,4.31,3.46,3.31,1.33,West,"Hammersmith and Fulham",E09000013
E02000379,"Hammersmith and Fulham 008","Hammersmith and Fulham",8718,7.78,4.22,3.34,3.62,1.39,West,"Hammersmith and Fulham",E09000013
E02000380,"Hammersmith and Fulham 009","Hammersmith and Fulham",6760,9.01,4.16,3.42,3.93,1.51,West,"Hammersmith and Fulham",E09000013
E02000381,"Hammersmith and Fulham 010","Hammersmith and Fulham",10508,7.36,3.44,2.77,3.11,1.29,West,"Hammersmith and Fulham",E09000013
E02000382,"Hammersmith and Fulham 011","Hammersmith and Fulham",7322,8.32,4.19,3.1,3.89,1.45,West,"Hammersmith and Fulham",E09000013
E02000383,"Hammersmith and Fulham 012","Hammersmith and Fulham",11823,7.03,3.56,2.81,3.22,1.25,West,"Hammersmith and Fulham",E09000013
E02000384,"Hammersmith and Fulham 013","Hammersmith and Fulham",9552,8.21,3.6,2.95,3.56,1.29,West,"Hammersmith and Fulham",E09000013
E02000385,"Hammersmith and Fulham 014","Hammersmith and Fulham",7662,7.18,3.69,2.98,3.48,1.15,West,"Hammersmith and Fulham",E09000013
E02000386,"Hammersmith and Fulham 015","Hammersmith and Fulham",11147,7.69,3.74,3.22,3.67,1.24,West,"Hammersmith and Fulham",E09000013
E02000387,"Hammersmith and Fulham 016","Hammersmith and Fulham",7885,7.95,4.01,3.23,3.83,1.36,West,"Hammersmith and Fulham",E09000013
E02000388,"Hammersmith and Fulham 017","Hammersmith and Fulham",10509,7.71,3.5,3.11,3.49,1.45,West,"Hammersmith and Fulham",E09000013
E02000389,"Hammersmith and Fulham 018","Hammersmith and Fulham",10503,8.12,3.74,3.08,3.85,1.37,West,"Hammersmith and Fulham",E09000013
E02000390,"Hammersmith and Fulham 019","Hammersmith and Fulham",8518,8.44,3.78,3.19,3.97,1.56,West,"Hammersmith and Fulham",E09000013
E02000391,"Hammersmith and Fulham 020","Hammersmith and Fulham",8919,6.27,3.4,2.29,2.95,1.3,West,"Hammersmith and Fulham",E09000013
E02000392,"Hammersmith and Fulham 021","Hammersmith and Fulham",12006,6.8,3,2.42,3.28,1.37,West,"Hammersmith and Fulham",E09000013
E02000393,"Hammersmith and Fulham 022","Hammersmith and Fulham",7628,8.32,3.5,2.95,3.79,1.55,West,"Hammersmith and Fulham",E09000013
E02000394,"Hammersmith and Fulham 023","Hammersmith and Fulham",10074,6.61,4.12,2.65,3.1,1.2,West,"Hammersmith and Fulham",E09000013
E02000395,"Hammersmith and Fulham 024","Hammersmith and Fulham",6701,6.67,2.79,2.28,3.16,1.28,West,"Hammersmith and Fulham",E09000013
E02000396,"Hammersmith and Fulham 025","Hammersmith and Fulham",8164,7.47,4.35,2.87,3.56,1.41,West,"Hammersmith and Fulham",E09000013
E02000397,"Haringey 001",Haringey,9344,10.02,7.23,5.02,3.83,1.81,North,Haringey,E09000014
E02000398,"Haringey 002",Haringey,9173,10.6,9.04,5.93,3.91,1.46,North,Haringey,E09000014
E02000400,"Haringey 004",Haringey,9239,9.34,6.31,4.39,4.34,1.71,North,Haringey,E09000014
E02000401,"Haringey 005",Haringey,7934,9.49,7.89,5.37,3.54,1.55,North,Haringey,E09000014
E02000402,"Haringey 006",Haringey,7896,10.3,7.78,5.99,3.91,1.58,North,Haringey,E09000014
E02000403,"Haringey 007",Haringey,8907,9.92,7.31,5.45,3.47,1.75,North,Haringey,E09000014
E02000404,"Haringey 008",Haringey,8631,10.03,9.67,5.29,3.48,1.73,North,Haringey,E09000014
E02000405,"Haringey 009",Haringey,7153,8.44,5.79,3.89,4.46,1.59,North,Haringey,E09000014
E02000406,"Haringey 010",Haringey,8080,10.21,10.45,5.32,3.53,1.71,North,Haringey,E09000014
E02000407,"Haringey 011",Haringey,9169,11.48,9.51,6.5,4.05,1.58,North,Haringey,E09000014
E02000408,"Haringey 012",Haringey,9115,12.02,9.85,6.55,4.17,1.61,North,Haringey,E09000014
E02000409,"Haringey 013",Haringey,7527,9.34,8.41,5.23,3.55,1.38,North,Haringey,E09000014
E02000410,"Haringey 014",Haringey,7497,7.74,3.63,2.63,4.38,1.28,North,Haringey,E09000014
E02000411,"Haringey 015",Haringey,12134,9.25,7.54,5.04,3.71,1.19,North,Haringey,E09000014
E02000412,"Haringey 016",Haringey,8750,9.86,8.73,5.18,3.89,1.68,North,Haringey,E09000014
E02000413,"Haringey 017",Haringey,8762,7.68,3.41,2.82,4.15,1.38,North,Haringey,E09000014
E02000414,"Haringey 018",Haringey,9013,9.94,8,5.5,3.78,1.28,North,Haringey,E09000014
E02000415,"Haringey 019",Haringey,8653,9.68,8.07,5.18,3.52,1.54,North,Haringey,E09000014
E02000416,"Haringey 020",Haringey,9436,8.32,6.94,3.26,4.97,1.32,North,Haringey,E09000014
E02000417,"Haringey 021",Haringey,7339,8.5,4.22,2.68,4.85,1.4,North,Haringey,E09000014
E02000418,"Haringey 022",Haringey,6382,8.51,6.49,3.17,5.14,1.38,North,Haringey,E09000014
E02000419,"Haringey 023",Haringey,10246,9.1,7.69,4.58,3.88,1.49,North,Haringey,E09000014
E02000420,"Haringey 024",Haringey,9865,10.55,8.06,5.74,3.73,1.37,North,Haringey,E09000014
E02000421,"Haringey 025",Haringey,9824,10.01,6.56,5.17,3.36,1.22,North,Haringey,E09000014
E02000422,"Haringey 026",Haringey,9443,10.7,7.93,5.69,3.6,1.37,North,Haringey,E09000014
E02000423,"Haringey 027",Haringey,8894,8.95,6.7,4.65,3.58,1.37,North,Haringey,E09000014
E02000424,"Haringey 028",Haringey,8025,7.48,5.6,2.89,4.8,1.2,North,Haringey,E09000014
E02000425,"Haringey 029",Haringey,9759,7.34,5.83,3.73,2.38,1.19,North,Haringey,E09000014
E02000426,"Haringey 030",Haringey,7250,8.3,3.2,2.55,4.66,1.67,North,Haringey,E09000014
E02000427,"Haringey 031",Haringey,8523,7.91,6.32,4.01,3.71,1.28,North,Haringey,E09000014
E02000428,"Haringey 032",Haringey,9435,9.42,7.14,4.81,3.21,1.26,North,Haringey,E09000014
E02000429,"Haringey 033",Haringey,7918,7.86,4.85,2.92,5.03,1.38,North,Haringey,E09000014
E02000430,"Haringey 034",Haringey,8398,7.37,5.17,2.96,4.76,1.17,North,Haringey,E09000014
E02000431,"Haringey 035",Haringey,6725,7.96,3.2,2.45,4.64,1.58,North,Haringey,E09000014
E02000432,"Haringey 036",Haringey,7386,8.37,4.7,3.8,4.24,1.12,North,Haringey,E09000014
E02000433,"Harrow 001",Harrow,9283,12.32,4.72,5.92,4.34,2.54,West,Harrow,E09000015
E02000434,"Harrow 002",Harrow,11359,12.17,5.41,6.34,4.33,2.57,West,Harrow,E09000015
E02000435,"Harrow 003",Harrow,8097,11.61,4.37,6.42,4.22,2.32,West,Harrow,E09000015
E02000436,"Harrow 004",Harrow,6051,14.97,4.36,6.78,5.87,3.31,West,Harrow,E09000015
E02000437,"Harrow 005",Harrow,9687,12.88,5.51,7.46,4.75,2.59,West,Harrow,E09000015
E02000438,"Harrow 006",Harrow,8793,14.15,4.26,6.72,5.57,3.05,West,Harrow,E09000015
E02000439,"Harrow 007",Harrow,11332,11.33,5.21,6.23,3.76,2.36,West,Harrow,E09000015
E02000440,"Harrow 008",Harrow,10931,11.53,4.74,6.64,4.47,2.26,West,Harrow,E09000015
E02000441,"Harrow 009",Harrow,8222,12.54,4.29,5.52,4.71,2.59,West,Harrow,E09000015
E02000442,"Harrow 010",Harrow,11253,10.87,5.19,6.99,3.43,2.03,West,Harrow,E09000015
E02000443,"Harrow 011",Harrow,12427,12.36,5.62,7.38,4.71,2.54,West,Harrow,E09000015
E02000444,"Harrow 012",Harrow,10193,10.73,4.46,6.97,3.75,2.28,West,Harrow,E09000015
E02000445,"Harrow 013",Harrow,12737,12.23,5.57,7.54,4.92,2.29,West,Harrow,E09000015
E02000447,"Harrow 015",Harrow,8101,12.71,5.01,7.49,5.26,2.64,West,Harrow,E09000015
E02000448,"Harrow 016",Harrow,7550,13.85,4.29,5.68,5.05,2.77,West,Harrow,E09000015
E02000449,"Harrow 017",Harrow,10129,11.42,5.16,7.87,3.75,2.46,West,Harrow,E09000015
E02000451,"Harrow 019",Harrow,7394,13.98,4.4,7.2,5.79,2.84,West,Harrow,E09000015
E02000452,"Harrow 020",Harrow,10693,10.48,5.54,6.6,4.42,2.09,West,Harrow,E09000015
E02000453,"Harrow 021",Harrow,9353,11,5.57,6.94,4.76,2.31,West,Harrow,E09000015
E02000454,"Harrow 022",Harrow,7894,12.79,4.03,5.42,4.65,2.56,West,Harrow,E09000015
E02000455,"Harrow 023",Harrow,11193,9.85,5.94,5.72,4.58,2.08,West,Harrow,E09000015
E02000456,"Harrow 024",Harrow,8379,10.97,5.86,6.46,5.84,2.12,West,Harrow,E09000015
E02000457,"Harrow 025",Harrow,7749,11.63,5.36,6.74,5.37,2.34,West,Harrow,E09000015
E02000459,"Harrow 027",Harrow,10362,10.55,7.32,6.72,5.38,2.07,West,Harrow,E09000015
E02000460,"Harrow 028",Harrow,8258,12.69,6.44,7.86,5.41,2.6,West,Harrow,E09000015
E02000461,"Harrow 029",Harrow,8034,11.4,5.53,6.52,4.82,2.36,West,Harrow,E09000015
E02000462,"Harrow 030",Harrow,8321,11.8,7.04,7.32,5.54,2.32,West,Harrow,E09000015
E02000463,"Harrow 031",Harrow,9903,13.97,6.31,8.08,5.51,2.68,West,Harrow,E09000015
E02000464,"Havering 001",Havering,8143,11.11,8.49,5.34,5,2.25,East,Havering,E09000016
E02000465,"Havering 002",Havering,9736,11.7,8.51,5.22,5.02,2.37,East,Havering,E09000016
E02000466,"Havering 003",Havering,9306,12.85,7.12,5.7,4.73,2.62,East,Havering,E09000016
E02000467,"Havering 004",Havering,12000,11.47,8.67,5.55,4.99,2.29,East,Havering,E09000016
E02000468,"Havering 005",Havering,8711,12.64,6.86,5.66,4.59,2.57,East,Havering,E09000016
E02000469,"Havering 006",Havering,7536,11.5,8.36,5.61,4.47,2.1,East,Havering,E09000016
E02000470,"Havering 007",Havering,9617,10.87,5.75,4.43,4.56,2.38,East,Havering,E09000016
E02000471,"Havering 008",Havering,7956,13.24,6.9,5.54,4.95,2.68,East,Havering,E09000016
E02000472,"Havering 009",Havering,9453,12,6.62,5.35,4.63,2.45,East,Havering,E09000016
E02000473,"Havering 010",Havering,10594,11.96,5.24,4.56,4.4,2.44,East,Havering,E09000016
E02000474,"Havering 011",Havering,9114,12.33,7.42,5.49,4.59,2.56,East,Havering,E09000016
E02000475,"Havering 012",Havering,9741,11.8,4.85,4.23,4.02,2.23,East,Havering,E09000016
E02000476,"Havering 013",Havering,10094,12.23,6.17,4.76,4.16,2.32,East,Havering,E09000016
E02000477,"Havering 014",Havering,10143,13.35,6.03,4.86,4.54,2.32,East,Havering,E09000016
E02000478,"Havering 015",Havering,6275,12.02,6.02,4.54,3.97,2.18,East,Havering,E09000016
E02000479,"Havering 016",Havering,9722,12.28,5.27,4.57,3.94,2.28,East,Havering,E09000016
E02000480,"Havering 017",Havering,13135,10.45,6.95,5.14,4.13,2.15,East,Havering,E09000016
E02000481,"Havering 018",Havering,8742,14.62,5.97,4.92,4.8,2.89,East,Havering,E09000016
E02000482,"Havering 019",Havering,6943,14.99,6.28,4.94,4.78,2.9,East,Havering,E09000016
E02000483,"Havering 020",Havering,8301,14.38,7.72,5.41,4.37,2.46,East,Havering,E09000016
E02000484,"Havering 021",Havering,8754,14.27,7.52,5.71,4.43,2.87,East,Havering,E09000016
E02000485,"Havering 022",Havering,8711,14.97,8.13,5.36,4.52,2.74,East,Havering,E09000016
E02000486,"Havering 023",Havering,7625,15.41,8.1,6.03,4.38,2.85,East,Havering,E09000016
E02000487,"Havering 024",Havering,8474,14.14,6.16,5.04,4.54,2.89,East,Havering,E09000016
E02000488,"Havering 025",Havering,7792,14.93,7.96,5.88,4.3,2.7,East,Havering,E09000016
E02000489,"Havering 026",Havering,9144,14.27,8.05,5.95,4.22,2.7,East,Havering,E09000016
E02000490,"Havering 027",Havering,8495,14.37,9.02,6.2,3.77,2.48,East,Havering,E09000016
E02000491,"Havering 028",Havering,9903,12.37,8.16,5.78,4.36,2.21,East,Havering,E09000016
E02000492,"Havering 029",Havering,7023,14.88,6.86,5.91,4.6,2.24,East,Havering,E09000016
E02000493,"Havering 030",Havering,7049,11.15,5.7,5.49,4.57,1.86,East,Havering,E09000016
E02000494,"Hillingdon 001",Hillingdon,8693,12.37,4.37,5.86,4.49,2.83,West,Hillingdon,E09000017
E02000495,"Hillingdon 002",Hillingdon,11658,12.09,4.62,5.72,4.49,2.58,West,Hillingdon,E09000017
E02000496,"Hillingdon 003",Hillingdon,8495,13.4,6.29,5.4,6.12,3.26,West,Hillingdon,E09000017
E02000497,"Hillingdon 004",Hillingdon,10055,12.99,5.08,5.48,4.76,2.75,West,Hillingdon,E09000017
E02000498,"Hillingdon 005",Hillingdon,6741,13.51,5.09,4.87,5.4,2.54,West,Hillingdon,E09000017
E02000499,"Hillingdon 006",Hillingdon,8625,13.07,5,5,4.67,2.72,West,Hillingdon,E09000017
E02000500,"Hillingdon 007",Hillingdon,8987,13.89,5.52,5,5.21,2.68,West,Hillingdon,E09000017
E02000501,"Hillingdon 008",Hillingdon,8898,13.26,5.73,4.73,4.96,2.53,West,Hillingdon,E09000017
E02000502,"Hillingdon 009",Hillingdon,9142,13.4,5.2,4.86,4.96,2.56,West,Hillingdon,E09000017
E02000503,"Hillingdon 010",Hillingdon,8953,13.31,5.89,4.75,4.96,2.45,West,Hillingdon,E09000017
E02000504,"Hillingdon 011",Hillingdon,7893,13.68,4.46,5.37,5.57,2.76,West,Hillingdon,E09000017
E02000506,"Hillingdon 013",Hillingdon,8490,11.61,4.7,5.1,4.69,2.34,West,Hillingdon,E09000017
E02000507,"Hillingdon 014",Hillingdon,9015,11.05,4.32,5.18,4.19,2.16,West,Hillingdon,E09000017
E02000508,"Hillingdon 015",Hillingdon,12994,8.31,5.02,3.83,4.09,1.6,West,Hillingdon,E09000017
E02000509,"Hillingdon 016",Hillingdon,12259,8.21,5.03,3.77,4.06,1.57,West,Hillingdon,E09000017
E02000510,"Hillingdon 017",Hillingdon,10005,9.83,4.38,4.92,4.23,1.83,West,Hillingdon,E09000017
E02000511,"Hillingdon 018",Hillingdon,10849,10.99,5.4,5.65,4.5,1.83,West,Hillingdon,E09000017
E02000512,"Hillingdon 019",Hillingdon,9367,10.23,4.64,5.24,4.36,1.76,West,Hillingdon,E09000017
E02000513,"Hillingdon 020",Hillingdon,10674,11.41,4.91,5.98,4.57,1.82,West,Hillingdon,E09000017
E02000514,"Hillingdon 021",Hillingdon,12776,12.13,5.6,7.26,4.84,2.06,West,Hillingdon,E09000017
E02000515,"Hillingdon 022",Hillingdon,12880,10.7,5.95,5.09,4.78,1.94,West,Hillingdon,E09000017
E02000516,"Hillingdon 023",Hillingdon,10207,11.97,6.71,7.44,5.01,2.19,West,Hillingdon,E09000017
E02000517,"Hillingdon 024",Hillingdon,11920,10.94,5.78,6.72,4.36,1.8,West,Hillingdon,E09000017
E02000518,"Hillingdon 025",Hillingdon,9817,10.19,5.66,5.1,4.55,1.79,West,Hillingdon,E09000017
E02000519,"Hillingdon 026",Hillingdon,10815,12.27,6.55,7.53,4.83,2.14,West,Hillingdon,E09000017
E02000520,"Hillingdon 027",Hillingdon,16465,10.45,6.47,6.88,4.21,1.69,West,Hillingdon,E09000017
E02000521,"Hillingdon 028",Hillingdon,14476,10.31,6.14,5.64,4.56,1.68,West,Hillingdon,E09000017
E02000522,"Hillingdon 029",Hillingdon,10663,10.73,6.32,5.39,4.87,1.88,West,Hillingdon,E09000017
E02000523,"Hillingdon 030",Hillingdon,13821,9.41,5.91,6.29,3.84,1.39,West,Hillingdon,E09000017
E02000524,"Hillingdon 031",Hillingdon,8314,10.61,6.25,5.8,4.46,1.83,West,Hillingdon,E09000017
